"","Znamka","Leto","St.prodanih","Delez.na.trgu(%)"
"705","Peugeot",2014,782883,6.05
"706","Porsche",2014,54004,0.42
"707","Renault",2014,872486,6.74
"708","Land Rover",2014,118342,0.91
"709","Seat",2014,327330,2.53
"710","Skoda",2014,571658,4.42
"711","Subaru",2014,32907,0.25
"712","Suzuki",2014,161144,1.25
"713","Toyota",2014,526272,4.07
"714","Volkswagen",2014,1606145,12.41
"715","Volvo",2014,254225,1.96
"716","Alfa Romeo",2015,56688,0.4
"717","Aston Martin",2015,1623,0.01
"718","Audi",2015,763308,5.41
"719","BMW",2015,743466,5.27
"720","Citroen",2015,545693,3.87
"721","Dacia",2015,376324,2.67
"722","Ferrari",2015,2648,0.02
"723","Fiat",2015,653212,4.63
"724","Ford",2015,1036249,7.34
"725","Honda",2015,130808,0.93
"726","Hyundai",2015,466167,3.3
"727","Jaguar",2015,39383,0.28
"728","Jeep",2015,86803,0.62
"729","Kia",2015,383047,2.71
"730","Lancia",2015,61652,0.44
"731","Lexus",2015,39255,0.28
"732","Mazda",2015,209290,1.48
"733","Mercedes Benz",2015,738351,5.23
"734","Mini",2015,181244,1.28
"735","Nissan",2015,554046,3.93
"736","Opel",2015,934368,6.62
"737","Peugeot",2015,849857,6.02
"738","Porsche",2015,68270,0.48
"739","Renault",2015,970454,6.88
"740","Land Rover",2015,140564,1
"741","Seat",2015,336560,2.39
"742","Skoda",2015,612579,4.34
"743","Subaru",2015,38033,0.27
"744","Suzuki",2015,177686,1.26
"745","Toyota",2015,556480,3.94
"746","Volkswagen",2015,1699221,12.04
"747","Volvo",2015,284567,2.02
"748","Alfa Romeo",2016,66155,0.44
"749","Aston Martin",2016,1508,0.01
"750","Audi",2016,820151,5.46
