"","Drzava","Leto","Stevilo"
"892","Sweden",2007,102098
"893","Sweden",2007,175283
"894","Liechtenstein",2007,1990
"895","Liechtenstein",2007,60
"896","Liechtenstein",2007,260
"897","Liechtenstein",2007,440
"898","Liechtenstein",2007,1230
"899","Norway",2007,162970
"900","Norway",2007,5357
"901","Norway",2007,27945
"902","Norway",2007,67389
"903","Norway",2007,62279
"904","Switzerland",2007,284000
"905","Switzerland",2007,10200
"906","Switzerland",2007,45600
"907","Switzerland",2007,76800
"908","Switzerland",2007,151400
"909","Turkey",2007,353495
"910","Belgium",2008,540542
"911","Bulgaria",2008,351433
"912","Czech Republic",2008,141954
"913","Denmark",2008,184323
"914","Germany (until 1990 former territory of the FRG)",2008,3090040
"915","Estonia",2008,24590
"916","Estonia",2008,391
"917","Estonia",2008,3884
"918","Estonia",2008,11413
"919","Estonia",2008,8902
"920","Spain",2008,1188485
"921","Spain",2008,61909
"922","Spain",2008,352392
"923","Spain",2008,523598
"924","Spain",2008,250586
"925","France",2008,2050283
"926","France",2008,281019
"927","France",2008,713753
"928","France",2008,725261
"929","France",2008,330250
"930","Croatia",2008,96712
"931","Croatia",2008,7256
"932","Croatia",2008,37627
"933","Croatia",2008,33868
"934","Croatia",2008,17961
"935","Italy",2008,2193822
"936","Cyprus",2008,51410
"937","Cyprus",2008,3885
"938","Cyprus",2008,15748
"939","Cyprus",2008,18814
"940","Cyprus",2008,12963
"941","Latvia",2008,54759
"942","Latvia",2008,673
"943","Latvia",2008,9713
"944","Latvia",2008,20676
"945","Latvia",2008,23697
"946","Lithuania",2008,191768
"947","Lithuania",2008,7830
"948","Lithuania",2008,50733
"949","Lithuania",2008,76495
"950","Lithuania",2008,56710
"951","Luxembourg",2008,52359
"952","Luxembourg",2008,1081
"953","Luxembourg",2008,9310
"954","Luxembourg",2008,17772
"955","Luxembourg",2008,24196
"956","Hungary",2008,176678
"957","Hungary",2008,26808
"958","Hungary",2008,72736
"959","Hungary",2008,46758
"960","Hungary",2008,30376
"961","Malta",2008,9598
"962","Malta",2008,47
"963","Malta",2008,5459
"964","Malta",2008,4000
"965","Malta",2008,92
"966","Netherlands",2008,499921
"967","Austria",2008,293697
"968","Austria",2008,25570
"969","Austria",2008,85708
"970","Austria",2008,96969
"971","Austria",2008,85450
"972","Poland",2008,1280633
"973","Poland",2008,84670
"974","Poland",2008,302045
