"TIME","GEO","UNIT","ENGINE","Value","Flag and Footnotes"
"1995","Liechtenstein","Number","Over 125 cm³","800","d"
"1995","Norway","Number","Total","43,000",""
"1995","Norway","Number","125 cm³ or less","4,000",""
"1995","Norway","Number","Over 125 cm³","39,000",""
"1995","Switzerland","Number","Total","371,000",""
"1995","Switzerland","Number","125 cm³ or less","196,000",""
"1995","Switzerland","Number","Over 125 cm³","175,000",""
"1995","Former Yugoslav Republic of Macedonia, the","Number","Total","2,305",""
"1995","Former Yugoslav Republic of Macedonia, the","Number","125 cm³ or less",":",""
"1995","Former Yugoslav Republic of Macedonia, the","Number","Over 125 cm³",":",""
"1995","Turkey","Number","Total","819,922",""
"1995","Turkey","Number","125 cm³ or less",":",""
"1995","Turkey","Number","Over 125 cm³",":",""
"1996","Belgium","Number","Total","212,000","d"
"1996","Belgium","Number","125 cm³ or less",":",""
"1996","Belgium","Number","Over 125 cm³",":",""
"1996","Bulgaria","Number","Total","234,950",""
"1996","Bulgaria","Number","125 cm³ or less",":",""
"1996","Bulgaria","Number","Over 125 cm³",":",""
"1996","Czech Republic","Number","Total","918,200",""
"1996","Czech Republic","Number","125 cm³ or less","561,000",""
"1996","Czech Republic","Number","Over 125 cm³","356,937",""
"1996","Denmark","Number","Total","56,000",""
"1996","Denmark","Number","125 cm³ or less",":",""
"1996","Denmark","Number","Over 125 cm³",":",""
"1996","Germany (until 1990 former territory of the FRG)","Number","Total","2,470,000","d"
"1996","Germany (until 1990 former territory of the FRG)","Number","125 cm³ or less","356,000","d"
"1996","Germany (until 1990 former territory of the FRG)","Number","Over 125 cm³","2,114,000","d"
"1996","Estonia","Number","Total","4,680",""
"1996","Estonia","Number","125 cm³ or less",":",""
"1996","Estonia","Number","Over 125 cm³",":",""
"1996","Ireland","Number","Total","23,847",""
"1996","Ireland","Number","125 cm³ or less","6,300",""
"1996","Ireland","Number","Over 125 cm³","17,500",""
"1996","Greece","Number","Total","518,000",""
"1996","Greece","Number","125 cm³ or less","244,000",""
"1996","Greece","Number","Over 125 cm³","274,000",""
"1996","Spain","Number","Total","1,308,000","d"
"1996","Spain","Number","125 cm³ or less","539,000",""
"1996","Spain","Number","Over 125 cm³","769,000",""
"1996","France","Number","Total","738,000",""
"1996","France","Number","125 cm³ or less","267,000",""
"1996","France","Number","Over 125 cm³","471,000",""
"1996","Croatia","Number","Total","14,000",""
"1996","Croatia","Number","125 cm³ or less","5,000",""
"1996","Croatia","Number","Over 125 cm³","9,000",""
"1996","Italy","Number","Total","2,573,000",""
"1996","Italy","Number","125 cm³ or less",":",""
"1996","Italy","Number","Over 125 cm³",":",""
"1996","Cyprus","Number","Total","12,100",""
"1996","Cyprus","Number","125 cm³ or less",":",""
"1996","Cyprus","Number","Over 125 cm³",":",""
"1996","Latvia","Number","Total","18,444",""
"1996","Latvia","Number","125 cm³ or less",":",""
"1996","Latvia","Number","Over 125 cm³",":",""
"1996","Lithuania","Number","Total","19,402","d"
"1996","Lithuania","Number","125 cm³ or less",":",""
"1996","Lithuania","Number","Over 125 cm³",":",""
"1996","Luxembourg","Number","Total",":",""
"1996","Luxembourg","Number","125 cm³ or less",":",""
"1996","Luxembourg","Number","Over 125 cm³",":",""
"1996","Hungary","Number","Total","151,019",""
"1996","Hungary","Number","125 cm³ or less","60,000",""
"1996","Hungary","Number","Over 125 cm³","91,000",""
"1996","Malta","Number","Total","11,663",""
"1996","Malta","Number","125 cm³ or less",":",""
"1996","Malta","Number","Over 125 cm³",":",""
"1996","Netherlands","Number","Total","354,000",""
"1996","Netherlands","Number","125 cm³ or less","5,000",""
"1996","Netherlands","Number","Over 125 cm³","349,000",""
"1996","Austria","Number","Total","194,000",""
"1996","Austria","Number","125 cm³ or less","17,000",""
"1996","Austria","Number","Over 125 cm³","177,000",""
"1996","Poland","Number","Total","875,663",""
"1996","Poland","Number","125 cm³ or less",":",""
"1996","Poland","Number","Over 125 cm³",":",""
"1996","Portugal","Number","Total","241,000","d"
"1996","Portugal","Number","125 cm³ or less",":",""
"1996","Portugal","Number","Over 125 cm³",":",""
"1996","Romania","Number","Total","122,527",""
"1996","Romania","Number","125 cm³ or less",":",""
"1996","Romania","Number","Over 125 cm³",":",""
"1996","Slovenia","Number","Total","8,022",""
"1996","Slovenia","Number","125 cm³ or less","3,115",""
"1996","Slovenia","Number","Over 125 cm³","4,907",""
"1996","Slovakia","Number","Total","79,479",""
"1996","Slovakia","Number","125 cm³ or less",":",""
"1996","Slovakia","Number","Over 125 cm³",":",""
"1996","Finland","Number","Total","66,000","d"
"1996","Finland","Number","125 cm³ or less","25,000","d"
"1996","Finland","Number","Over 125 cm³","41,000","d"
"1996","Sweden","Number","Total","76,000",""
"1996","Sweden","Number","125 cm³ or less","7,000",""
"1996","Sweden","Number","Over 125 cm³","69,000",""
"1996","United Kingdom","Number","Total","672,000",""
"1996","United Kingdom","Number","125 cm³ or less","189,000",""
"1996","United Kingdom","Number","Over 125 cm³","483,000",""
"1996","Iceland","Number","Total","2,000",""
"1996","Iceland","Number","125 cm³ or less","1,000",""
"1996","Iceland","Number","Over 125 cm³","1,000",""
"1996","Liechtenstein","Number","Total","1,660","d"
"1996","Liechtenstein","Number","125 cm³ or less","740","d"
"1996","Liechtenstein","Number","Over 125 cm³","910","d"
"1996","Norway","Number","Total","51,000",""
"1996","Norway","Number","125 cm³ or less","4,000",""
"1996","Norway","Number","Over 125 cm³","47,000",""
"1996","Switzerland","Number","Total","382,000",""
"1996","Switzerland","Number","125 cm³ or less","202,000",""
"1996","Switzerland","Number","Over 125 cm³","180,000",""
"1996","Former Yugoslav Republic of Macedonia, the","Number","Total","2,703",""
"1996","Former Yugoslav Republic of Macedonia, the","Number","125 cm³ or less",":",""
"1996","Former Yugoslav Republic of Macedonia, the","Number","Over 125 cm³",":",""
"1996","Turkey","Number","Total","854,150",""
"1996","Turkey","Number","125 cm³ or less",":",""
"1996","Turkey","Number","Over 125 cm³",":",""
"1997","Belgium","Number","Total","225,000","d"
"1997","Belgium","Number","125 cm³ or less",":",""
"1997","Belgium","Number","Over 125 cm³",":",""
"1997","Bulgaria","Number","Total","236,260",""
"1997","Bulgaria","Number","125 cm³ or less",":",""
"1997","Bulgaria","Number","Over 125 cm³",":",""
"1997","Czech Republic","Number","Total","929,600",""
"1997","Czech Republic","Number","125 cm³ or less","569,000",""
"1997","Czech Republic","Number","Over 125 cm³","360,379",""
"1997","Denmark","Number","Total","60,000",""
"1997","Denmark","Number","125 cm³ or less",":",""
"1997","Denmark","Number","Over 125 cm³",":",""
"1997","Germany (until 1990 former territory of the FRG)","Number","Total","2,717,000","d"
"1997","Germany (until 1990 former territory of the FRG)","Number","125 cm³ or less","467,000","d"
"1997","Germany (until 1990 former territory of the FRG)","Number","Over 125 cm³","2,250,000","d"
"1997","Estonia","Number","Total","5,300",""
"1997","Estonia","Number","125 cm³ or less",":",""
"1997","Estonia","Number","Over 125 cm³",":",""
"1997","Ireland","Number","Total","24,424",""
"1997","Ireland","Number","125 cm³ or less","16,000",""
"1997","Ireland","Number","Over 125 cm³","9,000",""
"1997","Greece","Number","Total","571,000",""
"1997","Greece","Number","125 cm³ or less","275,000",""
"1997","Greece","Number","Over 125 cm³","296,000",""
"1997","Spain","Number","Total","1,326,000","d"
"1997","Spain","Number","125 cm³ or less","543,000",""
"1997","Spain","Number","Over 125 cm³","783,000",""
"1997","France","Number","Total","779,000",""
"1997","France","Number","125 cm³ or less","292,000",""
"1997","France","Number","Over 125 cm³","487,000",""
"1997","Croatia","Number","Total","17,000",""
"1997","Croatia","Number","125 cm³ or less","17,000",""
